Temperature,File,Total_Rows,Coal_Ash_Rows,Biomass_Ash_Rows,Other_Rows
DT,SA_AdaBoost_combined_filtered.csv,288,150,138,0
DT,SA_CatBoost_combined_filtered.csv,274,140,134,0
DT,SA_ExtraTrees_combined_filtered.csv,252,128,124,0
DT,SA_GBRT_combined_filtered.csv,269,138,131,0
DT,SA_RandomForest_combined_filtered.csv,253,130,123,0
DT,SA_XGBoost_combined_filtered.csv,256,134,122,0
DT,ash_DT_SA_consensus_cleaned.csv,306,154,152,0
FT,SA_AdaBoost_combined_filtered.csv,373,233,140,0
FT,SA_CatBoost_combined_filtered.csv,343,223,120,0
FT,SA_ExtraTrees_combined_filtered.csv,332,205,127,0
FT,SA_GBRT_combined_filtered.csv,339,205,134,0
FT,SA_RandomForest_combined_filtered.csv,327,199,128,0
FT,SA_XGBoost_combined_filtered.csv,321,195,126,0
FT,ash_FT_SA_consensus_cleaned.csv,400,247,153,0
HT,SA_AdaBoost_combined_filtered.csv,314,175,139,0
HT,SA_CatBoost_combined_filtered.csv,296,172,124,0
HT,SA_ExtraTrees_combined_filtered.csv,281,161,120,0
HT,SA_GBRT_combined_filtered.csv,289,161,128,0
HT,SA_RandomForest_combined_filtered.csv,289,160,129,0
HT,SA_XGBoost_combined_filtered.csv,278,155,123,0
HT,ash_HT_SA_consensus_cleaned.csv,340,192,148,0
ST,SA_AdaBoost_combined_filtered.csv,320,219,101,0
ST,SA_CatBoost_combined_filtered.csv,298,204,94,0
ST,SA_ExtraTrees_combined_filtered.csv,285,197,88,0
ST,SA_GBRT_combined_filtered.csv,304,205,99,0
ST,SA_RandomForest_combined_filtered.csv,291,199,92,0
ST,SA_XGBoost_combined_filtered.csv,288,195,93,0
ST,ash_ST_SA_consensus_cleaned.csv,347,235,112,0
